mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	274271	3180000	0.55	3093750	4250625	4019250	
202003	102191	963121	4522500	0.5	4387500	4103438	4160250	
202003	102191	292181	4983750	0.5	4871250	3982500	4160250	
202003	102191	611279	4983750	0.48	4983750	3916875	4130250	
202003	102191	325631	3652500	0.51	3588750	4306875	4163250	
202003	102191	329419	3997500	0.48	3825000	4206562	4130250	
202003	102191	762761	4770000	0.54	4770000	3813750	4005000	
202003	102191	348989	4893750	0.48	4893750	3939375	4130250	
202003	102191	159977	4946250	0.49	4860000	3919688	4107750	
202003	102191	224563	4027500	0.53	4027500	4084688	4073250	
202003	102191	787043	4740000	0.62	4740000	3483750	3735000	
202003	102191	352951	4027500	0.35	4027500	3543750	3640500	
202003	102191	622129	4815000	0.51	4762500	4013438	4163250	
202003	102191	118247	3202500	0.45	3105000	4160625	3949500	
202003	102191	758957	5141250	0.48	5051250	3900000	4130250	
202003	102191	301649	5002500	0.5	4897500	3975938	4160250	
202003	102191	382709	4031250	0.48	4031250	4155000	4130250	
202003	102191	952597	4871250	0.53	4616250	3937500	4073250	
202003	102191	963043	4413750	0.5	4413750	4096875	4160250	
202003	102191	823721	5497500	0.48	5497500	3788438	4130250	
202003	102191	248827	4691250	0.5	4691250	4027500	4160250	
202003	102191	325307	4897500	0.48	4897500	3938438	4130250	
202003	102191	325379	4342500	0.62	4301250	3593438	3735000	
202003	102191	795503	4331250	0.35	4185000	3504375	3640500	
202003	102191	572909	5088750	0.49	5010000	3882188	4107750	
202003	102191	605039	4383750	0.7	4087500	3263438	3428250	
202003	102191	522413	5647500	0.56	5647500	3579375	3993000	
202003	102191	300301	3225000	0.63	3127500	3885938	3734250	
202003	102191	165511	3735000	0.58	3727500	3989062	3936750	
202003	102191	820891	3386250	0.53	3386250	4245000	4073250	
202003	102191	530989	4455000	0.52	4387500	4016250	4090500	
202003	102191	134417	4207500	0.48	4207500	4110938	4130250	
202003	102191	527843	4968750	0.52	4871250	3895312	4090500	
202003	102191	611587	3937500	0.55	3937500	4039688	4019250	
202003	102191	874547	5531250	0.56	5531250	3608438	3993000	
202003	102191	909599	3588750	0.35	3405000	3699375	3640500	
202003	102191	143971	4533750	0.53	4533750	3958125	4073250	
202003	102191	287857	4245000	0.55	4185000	3977812	4019250	
202003	102191	532981	4530000	0.47	4462500	3970312	4068750	
202003	102191	224351	5775000	0.51	5775000	3760312	4163250	
202003	102191	140417	4443750	0.54	4443750	3895312	4005000	
202003	102191	457253	4811250	0.56	4811250	3788438	3993000	
202003	102191	898553	3922500	0.45	3855000	3973125	3949500	
202003	102191	366127	4046250	0.38	4046250	3577500	3671250	
202003	102191	967627	3161250	0.5	3033750	4441875	4160250	
202003	102191	433099	3971250	0.62	3907500	3691875	3735000	
202003	102191	375371	4657500	0.54	4597500	3856875	4005000	
202003	102191	689131	3712500	0.53	3562500	4200938	4073250	
202003	102191	829519	4218750	0.44	4061250	3808125	3858750	
202003	102191	210599	5036250	0.5	4912500	3972188	4160250	
202003	102191	347059	4841250	0.59	4770000	3698438	3912750	
202003	102191	677953	5415000	0.55	5415000	3670312	4019250	
202003	102191	745939	3757500	0.35	3757500	3611250	3640500	
202003	102191	635291	5377500	0.45	5377500	3592500	3949500	
202003	102191	590431	4402500	0.53	4226250	4035000	4073250	
202003	102191	276587	4237500	0.55	4237500	3964688	4019250	
202003	102191	157061	3120000	0.51	3112500	4425938	4163250	
202003	102191	754057	4188750	0.49	4173750	4091250	4107750	
202003	102191	758893	6873750	0.52	6866250	3396562	4090500	
202003	102191	676463	4260000	0.51	4098750	4179375	4163250	
202003	102191	437693	5006250	0.55	4785000	3827812	4019250	
202003	102191	818837	3600000	0.51	3555000	4315312	4163250	
202003	102191	994193	4781250	0.51	4781250	4008750	4163250	
202003	102191	955193	4241250	0.5	4061250	4185000	4160250	
202003	102191	464171	3176250	0.75	3108750	3230625	3206250	
202003	102191	878191	3828750	0.53	3828750	4134375	4073250	
202003	102191	453217	4822500	0.51	4822500	3998438	4163250	
202003	102191	367033	3926250	0.5	3926250	4218750	4160250	
202003	102191	422551	3933750	0.59	3885000	3919688	3912750	
202003	102191	969791	4398750	0.44	4398750	3723750	3858750	
202003	102191	487349	5115000	0.5	5021250	3945000	4160250	
202003	102191	166631	4593750	0.49	4507500	4007812	4107750	
202003	102191	327853	4548750	0.53	4402500	3990938	4073250	
202003	102191	913151	3566250	0.52	3446250	4251562	4090500	
202003	102191	806369	4076250	0.52	4005000	4111875	4090500	
202003	102191	182129	4650000	0.66	4650000	3389062	3641250	
202003	102191	778163	4091250	0.56	4091250	3968438	3993000	
202003	102191	229751	4413750	0.56	4316250	3912188	3993000	
202003	102191	401861	3273750	0.47	3176250	4291875	4068750	
202003	102191	504103	5103750	0.48	4901250	3937500	4130250	
202003	102191	700789	3795000	0.52	3705000	4186875	4090500	
202003	102191	977813	4620000	0.51	4620000	4049062	4163250	
202003	102191	505429	4410000	0.47	4323750	4005000	4068750	
202003	102191	445589	3843750	0.49	3825000	4178438	4107750	
202003	102191	478741	3843750	0.58	3765000	3979688	3936750	
202003	102191	169501	4781250	0.51	4631250	4046250	4163250	
202003	102191	374603	5325000	0.51	5171250	3911250	4163250	
202003	102191	233851	5328750	0.67	5328750	3058125	3512250	
202003	102191	273061	3532500	0.67	3498750	3515625	3512250	
202003	102191	713159	4473750	0.5	4368750	4108125	4160250	
202003	102191	759911	4132500	0.45	4005000	3935625	3949500	
202003	102191	168253	4597500	0.51	4597500	4054688	4163250	
202003	102191	597353	4507500	0.55	4507500	3897188	4019250	
202003	102191	206917	3982500	0.55	3915000	4045312	4019250	
202003	102191	875647	4113750	0.68	4020000	3328125	3466500	
202003	102191	975463	5017500	0.53	5017500	3837188	4073250	
202003	102191	487727	4316250	0.5	4211250	4147500	4160250	
202003	102191	553873	4027500	0.38	4027500	3582188	3671250	
202003	102191	600407	4856250	0.52	4785000	3916875	4090500	
202003	102191	597271	4800000	0.75	4736250	2823750	3206250	
