mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
201905	102191	904147	12746250	0.18	12675000	10434375	10882500	
201905	102191	976091	10740000	0.14	10740000	11232188	11133750	
201905	102191	910661	11553750	0.17	11362500	11010938	11081250	
201905	102191	242197	11505000	0.15	11317500	11210625	11232000	
201905	102191	847519	10522500	0.17	10406250	11250000	11081250	
201905	102191	226099	11996250	0.22	11253750	9906562	10176000	
201905	102191	699493	11726250	0.16	11726250	11145000	11261250	
201905	102191	275339	11490000	0.19	11205000	10700625	10801500	
201905	102191	751423	10845000	0.16	10845000	11365312	11261250	
201905	102191	844523	11805000	0.1	10871250	10659375	10701750	
201905	102191	577531	9945000	0.22	9108750	10442812	10176000	
201905	102191	955139	11178750	0.21	10593750	10357500	10404750	
201905	102191	929311	11748750	0.22	10747500	10033125	10176000	
201905	102191	923441	10905000	0.21	10841250	10295625	10404750	
201905	102191	372847	12907500	0.26	11865000	9304688	9816750	
201905	102191	778187	12375000	0.2	12225000	10176562	10586250	
201905	102191	102913	10912500	0.15	10807500	11338125	11232000	
201905	102191	923179	12022500	0.29	10500000	9180938	9444750	
201905	102191	356929	12146250	0.23	11306250	9857812	10147500	
201905	102191	488617	13661250	0.2	13136250	9948750	10586250	
201905	102191	579869	10128750	0.13	10128750	11310938	11074500	
201905	102191	869299	11321250	0.12	11238750	10975312	11028000	
201905	102191	702469	11838750	0.2	11595000	10334062	10586250	
201905	102191	877367	10856250	0.18	10856250	10889062	10882500	
201905	102191	737281	12187500	0.18	11850000	10640625	10882500	
201905	102191	659473	11186250	0.17	11186250	11055000	11081250	
201905	102191	370399	11966250	0.18	11617500	10698750	10882500	
201905	102191	561529	9723750	0.17	9652500	11438438	11081250	
201905	102191	813199	10815000	0.15	10815000	11336250	11232000	
201905	102191	128969	11550000	0.17	11512500	10973438	11081250	
201905	102191	242377	11801250	0.21	10155000	10467188	10404750	
201905	102191	906823	9866250	0.18	9352500	11265000	10882500	
201905	102191	461603	11778750	0.12	11748750	10847812	11028000	
201905	102191	590963	10770000	0.12	10770000	11092500	11028000	
201905	102191	366217	11632500	0.17	11422500	10995938	11081250	
201905	102191	780631	11058750	0.29	9427500	9449062	9444750	
201905	102191	902179	11133750	0.16	11133750	11293125	11261250	
201905	102191	651029	11006250	0.12	11006250	11033438	11028000	
201905	102191	511691	11932500	0.24	11628750	9587812	9996000	
201905	102191	259387	11272500	0.16	10785000	11380312	11261250	
201905	102191	221071	11175000	0.15	11111250	11262188	11232000	
201905	102191	538301	11212500	0.24	9990000	9997500	9996000	
201905	102191	706913	11542500	0.24	10113750	9966562	9996000	
201905	102191	212999	12360000	0.3	9862500	9219375	9348000	
201905	102191	647321	11700000	0.18	11688750	10680938	10882500	
201905	102191	167623	11655000	0.13	11655000	10929375	11074500	
201905	102191	222163	10016250	0.33	9221250	8936250	8993250	
