mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	904147	4650000	0.53	4593750	3895312	4035000	
202003	102191	976091	4878750	0.64	4788750	3675000	3897750	
202003	102191	910661	3618750	0.53	3618750	4139062	4035000	
202003	102191	242197	3896250	0.52	3896250	4111875	4068750	
202003	102191	847519	4331250	0.57	4331250	3974062	4045500	
202003	102191	226099	4541250	0.6	4541250	3895312	4024500	
202003	102191	699493	2872500	0.56	2846250	4365000	4061250	
202003	102191	275339	4042500	0.67	4042500	3824062	3867750	
202003	102191	751423	3611250	0.45	3611250	3917812	3856500	
202003	102191	844523	5377500	0.61	5377500	3562500	3925500	
202003	102191	577531	4897500	0.7	4890000	3401250	3699000	
202003	102191	955139	4852500	0.53	4815000	3840000	4035000	
202003	102191	929311	4867500	0.6	4792500	3832500	4024500	
202003	102191	923441	4267500	0.56	4211250	4023750	4061250	
202003	102191	372847	3105000	0.42	3003750	4020938	3817500	
202003	102191	778187	4526250	0.52	4425000	3979688	4068750	
202003	102191	102913	4650000	0.42	4650000	3609375	3817500	
202003	102191	923179	4593750	0.57	4593750	3908438	4045500	
202003	102191	356929	4121250	0.61	4068750	3889688	3925500	
202003	102191	488617	4586250	0.39	4293750	3426562	3600000	
202003	102191	579869	2718750	0.67	2681250	4164375	3867750	
202003	102191	869299	4031250	0.53	3956250	4054688	4035000	
202003	102191	702469	4230000	0.5	4173750	3945000	3990750	
202003	102191	877367	5145000	0.6	5145000	3744375	4024500	
202003	102191	737281	3978750	0.56	3937500	4092188	4061250	
202003	102191	659473	3757500	0.59	3705000	4144688	4056750	
202003	102191	370399	3540000	0.6	3536250	4146562	4024500	
202003	102191	561529	4736250	0.42	4713750	3593438	3817500	
202003	102191	813199	3761250	0.57	3750000	4119375	4045500	
202003	102191	128969	5475000	0.58	5475000	3720000	4071000	
202003	102191	242377	4893750	0.44	4702500	3637500	3850500	
202003	102191	906823	3922500	0.61	3922500	3926250	3925500	
202003	102191	461603	4102500	0.5	4001250	3988125	3990750	
202003	102191	590963	5347500	0.58	5212500	3785625	4071000	
202003	102191	366217	3221250	0.58	3108750	4311562	4071000	
202003	102191	780631	3045000	0.59	2951250	4333125	4056750	
202003	102191	902179	5478750	0.52	5407500	3734062	4068750	
202003	102191	651029	3888750	0.6	3866250	4064062	4024500	
202003	102191	511691	3930000	0.58	3645000	4177500	4071000	
202003	102191	259387	4372500	0.52	4252500	4022812	4068750	
202003	102191	221071	3840000	0.56	3813750	4123125	4061250	
202003	102191	538301	4856250	0.47	4792500	3675000	3898500	
202003	102191	706913	4488750	0.66	4488750	3677812	3840000	
202003	102191	212999	5002500	0.6	5002500	3780000	4024500	
202003	102191	647321	3341250	0.41	3247500	3796875	3687000	
202003	102191	167623	4556250	0.51	4481250	3905625	4020750	
202003	102191	222163	4323750	0.43	4218750	3692812	3798000	
202003	102191	920687	4331250	0.53	4196250	3994688	4035000	
202003	102191	167213	4965000	0.51	4728750	3843750	4020750	
202003	102191	325673	3626250	0.56	3581250	4181250	4061250	
202003	102191	132233	4383750	0.67	4335000	3750938	3867750	
202003	102191	284227	3472500	0.6	3472500	4162500	4024500	
202003	102191	876181	2992500	0.32	2962500	3059062	3039750	
202003	102191	978233	4612500	0.46	4548750	3751875	3911250	
202003	102191	355457	5257500	0.5	5152500	3700312	3990750	
202003	102191	641513	4781250	0.52	4781250	3890625	4068750	
202003	102191	737969	5433750	0.5	5362500	3647812	3990750	
202003	102191	838139	4023750	0.62	3941250	3819375	3843750	
202003	102191	544759	4466250	0.57	4215000	4003125	4045500	
202003	102191	617791	5081250	0.56	5081250	3806250	4061250	
202003	102191	577169	3862500	0.58	3862500	4123125	4071000	
202003	102191	414241	5782500	0.6	5662500	3615000	4024500	
202003	102191	415823	3712500	0.46	3712500	3960938	3911250	
202003	102191	992917	4125000	0.46	4125000	3857812	3911250	
202003	102191	433861	4957500	0.66	4882500	3579375	3840000	
202003	102191	730421	4207500	0.58	4203750	4037812	4071000	
202003	102191	586237	3990000	0.48	3817500	3945000	3919500	
202003	102191	123701	4218750	0.65	4218750	3840938	3916500	
202003	102191	221077	4777500	0.56	4777500	3882188	4061250	
202003	102191	476167	4766250	0.59	4766250	3879375	4056750	
202003	102191	794569	3892500	0.65	3825000	3939375	3916500	
202003	102191	380909	4631250	0.45	4541250	3685312	3856500	
202003	102191	631039	4983750	0.6	4897500	3806250	4024500	
202003	102191	862541	4083750	0.45	3990000	3823125	3856500	
202003	102191	260551	5190000	0.48	5163750	3608438	3919500	
