mes_aplicacion,semilla_undersampling,semilla_public,ganancia_public_inalcanzable,probabilidad_corte,ganancia_public,ganancia_private,ganancia_completa
202003,102191,904147,4451250,0.64,4320000,3788438,3894750
202003,102191,976091,4597500,0.69,4338750,3756562,3873000
202003,102191,910661,3577500,0.64,3468750,4001250,3894750
202003,102191,242197,3633750,0.66,3521250,3977812,3886500
202003,102191,847519,4072500,0.54,4072500,3806250,3859500
202003,102191,226099,4563750,0.63,4563750,3763125,3923250
202003,102191,699493,3041250,0.69,3041250,4080938,3873000
202003,102191,275339,3930000,0.44,3783750,3766875,3770250
202003,102191,751423,3847500,0.44,3757500,3773438,3770250
202003,102191,844523,5321250,0.63,5321250,3573750,3923250
202003,102191,577531,5006250,0.7,5006250,3357188,3687000
202003,102191,955139,4852500,0.49,4852500,3825938,4031250
202003,102191,929311,4961250,0.47,4882500,3677812,3918750
202003,102191,923441,4065000,0.55,4065000,3769688,3828750
202003,102191,372847,2876250,0.67,2816250,4147500,3881250
202003,102191,778187,4211250,0.48,4151250,3945938,3987000
202003,102191,102913,4425000,0.41,4106250,3594375,3696750
202003,102191,923179,4387500,0.64,4387500,3771562,3894750
202003,102191,356929,4068750,0.68,4068750,3903750,3936750
202003,102191,488617,4275000,0.52,4275000,3920625,3991500
202003,102191,579869,2610000,0.72,2595000,3801562,3560250
202003,102191,869299,3870000,0.49,3862500,4073438,4031250
202003,102191,702469,4185000,0.49,4110000,4011562,4031250
202003,102191,877367,4837500,0.5,4837500,3833438,4034250
202003,102191,737281,4260000,0.52,4211250,3936562,3991500
202003,102191,659473,3817500,0.66,3671250,3940312,3886500
202003,102191,370399,3738750,0.68,3633750,4012500,3936750
202003,102191,561529,4642500,0.41,4601250,3470625,3696750
202003,102191,813199,3892500,0.51,3817500,4099688,4043250
202003,102191,128969,5175000,0.5,5126250,3761250,4034250
202003,102191,242377,4893750,0.5,4500000,3917812,4034250
202003,102191,906823,3971250,0.7,3971250,3615938,3687000
202003,102191,461603,4155000,0.67,4020000,3846562,3881250
202003,102191,590963,5246250,0.51,5246250,3742500,4043250
202003,102191,366217,3303750,0.62,3303750,4062188,3910500
202003,102191,780631,2835000,0.64,2741250,4183125,3894750
202003,102191,902179,5643750,0.52,5643750,3578438,3991500
202003,102191,651029,3877500,0.42,3877500,3698438,3734250
202003,102191,511691,3701250,0.7,3551250,3720938,3687000
202003,102191,259387,4702500,0.4,4695000,3403125,3661500
202003,102191,221071,4008750,0.47,3720000,3968438,3918750
202003,102191,538301,4740000,0.49,4740000,3854062,4031250
202003,102191,706913,4590000,0.52,4541250,3854062,3991500
202003,102191,212999,5073750,0.68,5073750,3652500,3936750
202003,102191,647321,3498750,0.45,3367500,3895312,3789750
202003,102191,167623,4770000,0.52,4713750,3810938,3991500
202003,102191,222163,4342500,0.5,4226250,3986250,4034250
202003,102191,920687,4455000,0.69,4455000,3727500,3873000
202003,102191,167213,4953750,0.63,4736250,3720000,3923250
202003,102191,325673,3765000,0.48,3765000,4042500,3987000
202003,102191,132233,4260000,0.65,4173750,3798750,3873750
202003,102191,284227,3363750,0.52,3363750,4148438,3991500
202003,102191,876181,2748750,0.54,2748750,4137188,3859500
202003,102191,978233,4533750,0.42,4462500,3552188,3734250
202003,102191,355457,5231250,0.49,5231250,3731250,4031250
202003,102191,641513,4691250,0.47,4691250,3725625,3918750
202003,102191,737969,5313750,0.58,5141250,3461250,3797250
202003,102191,838139,4143750,0.68,4143750,3885000,3936750
202003,102191,544759,4181250,0.48,4065000,3967500,3987000
202003,102191,617791,4878750,0.51,4792500,3855938,4043250
202003,102191,577169,3937500,0.57,3862500,3864375,3864000
202003,102191,414241,5853750,0.61,5726250,3380625,3849750
202003,102191,415823,3697500,0.44,3570000,3820312,3770250
202003,102191,992917,4211250,0.49,4211250,3986250,4031250
202003,102191,433861,5208750,0.52,5137500,3705000,3991500
202003,102191,730421,4200000,0.52,4200000,3939375,3991500
202003,102191,586237,4166250,0.49,3945000,4052812,4031250
202003,102191,123701,4128750,0.65,4042500,3831562,3873750
202003,102191,221077,4526250,0.66,4440000,3748125,3886500
202003,102191,476167,4672500,0.51,4571250,3911250,4043250
202003,102191,794569,3817500,0.53,3731250,3901875,3867750
202003,102191,380909,4878750,0.47,4803750,3697500,3918750
202003,102191,631039,4698750,0.65,4462500,3726562,3873750
202003,102191,862541,3948750,0.62,3877500,3918750,3910500
202003,102191,260551,5088750,0.48,5047500,3721875,3987000
202003,102191,219983,3990000,0.63,3990000,3906562,3923250
202003,102191,217121,4901250,0.64,4878750,3648750,3894750
202003,102191,976957,4492500,0.51,4395000,3955312,4043250
202003,102191,432559,4001250,0.47,3810000,3945938,3918750
202003,102191,628861,4492500,0.49,4432500,3930938,4031250
202003,102191,944297,5306250,0.63,5306250,3577500,3923250
202003,102191,236627,3480000,0.58,3360000,3906562,3797250
202003,102191,546613,4140000,0.68,4140000,3885938,3936750
202003,102191,493123,3888750,0.68,3888750,3948750,3936750
202003,102191,618841,3858750,0.5,3858750,4078125,4034250
202003,102191,289031,3772500,0.7,3633750,3700312,3687000
202003,102191,627091,5505000,0.69,5505000,3465000,3873000
202003,102191,990719,3806250,0.51,3693750,4130625,4043250
202003,102191,461921,4008750,0.66,3828750,3900938,3886500
202003,102191,216803,4938750,0.4,4818750,3372188,3661500
202003,102191,615101,5313750,0.48,5265000,3667500,3987000
202003,102191,482117,3487500,0.51,3431250,4196250,4043250
202003,102191,358243,4005000,0.42,3978750,3673125,3734250
202003,102191,981983,4477500,0.6,4331250,3637500,3776250
202003,102191,712883,5178750,0.52,5178750,3694688,3991500
202003,102191,213173,3618750,0.49,3547500,4152188,4031250
202003,102191,400249,3277500,0.66,3232500,4050000,3886500
202003,102191,953501,5017500,0.69,4972500,3598125,3873000
202003,102191,624203,3948750,0.52,3948750,4002188,3991500
202003,102191,656273,4226250,0.69,4207500,3789375,3873000
202002,102191,904147,8700000,0.42,8700000,8177812,8282250
202002,102191,976091,8268750,0.53,8043750,7955625,7973250
202002,102191,910661,7518750,0.43,7488750,8445938,8254500
202002,102191,242197,9011250,0.48,9011250,8136562,8311500
202002,102191,847519,8508750,0.49,8302500,8251875,8262000
202002,102191,226099,8392500,0.48,8392500,8291250,8311500
202002,102191,699493,8553750,0.51,8553750,8070000,8166750
202002,102191,275339,8340000,0.64,8100000,6946875,7177500
202002,102191,751423,8272500,0.51,8220000,8153438,8166750
202002,102191,844523,9603750,0.45,9603750,8001562,8322000
202002,102191,577531,8036250,0.44,7923750,8426250,8325750
202002,102191,955139,8613750,0.45,8508750,8275312,8322000
202002,102191,929311,9630000,0.45,9630000,7995000,8322000
202002,102191,923441,8812500,0.47,8812500,8245312,8358750
202002,102191,372847,7638750,0.35,7470000,8054062,7937250
202002,102191,778187,8246250,0.47,8085000,8427188,8358750
202002,102191,102913,9907500,0.44,9907500,7930312,8325750
202002,102191,923179,8448750,0.5,8448750,8157188,8215500
202002,102191,356929,8475000,0.46,8426250,8245312,8281500
202002,102191,488617,8152500,0.37,7920000,8033438,8010750
202002,102191,579869,9491250,0.43,9491250,7945312,8254500
202002,102191,869299,7413750,0.36,7413750,8152500,8004750
202002,102191,702469,8167500,0.46,8073750,8333438,8281500
202002,102191,877367,9240000,0.47,9183750,8152500,8358750
202002,102191,737281,9615000,0.5,9592500,7871250,8215500
202002,102191,659473,8820000,0.45,8771250,8209688,8322000
202002,102191,370399,8497500,0.54,8490000,7835625,7966500
202002,102191,561529,8190000,0.49,8096250,8303438,8262000
202002,102191,813199,8805000,0.48,8677500,8220000,8311500
202002,102191,128969,8092500,0.42,8006250,8351250,8282250
202002,102191,242377,8426250,0.47,8426250,8341875,8358750
202002,102191,906823,8602500,0.49,8550000,8190000,8262000
202002,102191,461603,7683750,0.36,7683750,8085000,8004750
202002,102191,590963,8430000,0.54,8253750,7894688,7966500
202002,102191,366217,8805000,0.37,8190000,7965938,8010750
202002,102191,780631,9198750,0.47,9018750,8193750,8358750
202002,102191,902179,8028750,0.46,8006250,8350312,8281500
202002,102191,651029,9633750,0.42,9600000,7952812,8282250
202002,102191,511691,8122500,0.45,7980000,8407500,8322000
202002,102191,259387,7867500,0.44,7822500,8451562,8325750
202002,102191,221071,8745000,0.38,8745000,7798125,7987500
202002,102191,538301,9236250,0.36,9138750,7721250,8004750
202002,102191,706913,7443750,0.42,7443750,8491875,8282250
202002,102191,212999,8685000,0.5,8685000,8098125,8215500
202002,102191,647321,7927500,0.42,7860000,8387812,8282250
202002,102191,167623,7811250,0.42,7803750,8401875,8282250
202002,102191,222163,8883750,0.52,8883750,8038125,8207250
202002,102191,920687,9765000,0.43,9750000,7880625,8254500
202002,102191,167213,7950000,0.44,7785000,8460938,8325750
202002,102191,325673,8688750,0.5,8670000,8101875,8215500
202002,102191,132233,9206250,0.43,9093750,8044688,8254500
202002,102191,284227,8422500,0.43,8167500,8276250,8254500
202002,102191,876181,9446250,0.47,9446250,8086875,8358750
202002,102191,978233,8493750,0.48,8411250,8286562,8311500
202002,102191,355457,8313750,0.54,8220000,7903125,7966500
202002,102191,641513,9457500,0.47,9457500,8084062,8358750
202002,102191,737969,7005000,0.51,6870000,8490938,8166750
202002,102191,838139,8257500,0.49,8137500,8293125,8262000
202002,102191,544759,7646250,0.5,7646250,8357812,8215500
202002,102191,617791,8628750,0.43,8493750,8194688,8254500
202002,102191,577169,8392500,0.42,8295000,8279062,8282250
202002,102191,414241,7950000,0.46,7766250,8410312,8281500
202002,102191,415823,8797500,0.49,8797500,8128125,8262000
202002,102191,992917,7601250,0.51,7601250,8308125,8166750
202002,102191,433861,8310000,0.41,8178750,8123438,8134500
202002,102191,730421,8733750,0.46,8733750,8168438,8281500
202002,102191,586237,9067500,0.47,8973750,8205000,8358750
202002,102191,123701,8775000,0.49,8775000,8133750,8262000
202002,102191,221077,8801250,0.44,8707500,8230312,8325750
202002,102191,476167,9243750,0.52,9221250,7953750,8207250
202002,102191,794569,9435000,0.45,9435000,8043750,8322000
202002,102191,380909,8017500,0.38,8006250,7982812,7987500
202002,102191,631039,9161250,0.46,9060000,8086875,8281500
202002,102191,862541,8730000,0.5,8520000,8139375,8215500
202002,102191,260551,9281250,0.4,9251250,7822500,8108250
202002,102191,219983,7841250,0.44,7683750,8486250,8325750
202002,102191,217121,8550000,0.52,8550000,8121562,8207250
202002,102191,976957,8812500,0.52,8782500,8063438,8207250
202002,102191,432559,7608750,0.37,7541250,8128125,8010750
202002,102191,628861,8032500,0.52,7942500,8273438,8207250
202002,102191,944297,8936250,0.47,8936250,8214375,8358750
202002,102191,236627,9225000,0.47,9007500,8196562,8358750
202002,102191,546613,7811250,0.5,7706250,8342812,8215500
202002,102191,493123,7571250,0.61,7503750,7342500,7374750
202002,102191,618841,8793750,0.47,8793750,8250000,8358750
202002,102191,289031,9982500,0.41,9855000,7704375,8134500
202002,102191,627091,7815000,0.43,7815000,8364375,8254500
202002,102191,990719,8801250,0.52,8801250,8058750,8207250
202002,102191,461921,8508750,0.5,8467500,8152500,8215500
202002,102191,216803,7635000,0.53,7353750,8128125,7973250
202002,102191,615101,8358750,0.48,8306250,8312812,8311500
202002,102191,482117,7668750,0.52,7668750,8341875,8207250
202002,102191,358243,8081250,0.45,7886250,8430938,8322000
202002,102191,981983,8246250,0.49,8201250,8277188,8262000
202002,102191,712883,9.00E+06,0.52,8992500,8010938,8207250
202002,102191,213173,9712500,0.52,9712500,7830938,8207250
202002,102191,400249,9063750,0.51,9015000,7954688,8166750
202002,102191,953501,8651250,0.45,8576250,8258438,8322000
202002,102191,624203,9198750,0.58,9198750,7184062,7587000
202002,102191,656273,7815000,0.51,7713750,8280000,8166750
202001,102191,904147,11178750,0.54,11002500,11738438,11591250
202001,102191,976091,12727500,0.5,12543750,11228438,11491500
202001,102191,910661,12063750,0.38,12063750,11679375,11756250
202001,102191,242197,12093750,0.53,12045000,11432812,11555250
202001,102191,847519,11463750,0.4,11167500,11805938,11678250
202001,102191,226099,11670000,0.36,11670000,11696250,11691000
202001,102191,699493,11373750,0.58,11373750,11551875,11516250
202001,102191,275339,11302500,0.37,11302500,11857500,11746500
202001,102191,751423,1.20E+07,0.38,1.20E+07,11695312,11756250
202001,102191,844523,11512500,0.35,11512500,11703750,11665500
202001,102191,577531,12603750,0.37,12457500,11568750,11746500
202001,102191,955139,12240000,0.57,12165000,11402812,11555250
202001,102191,929311,12393750,0.38,12273750,11626875,11756250
202001,102191,923441,12150000,0.55,12150000,11514375,11641500
202001,102191,372847,11021250,0.37,11021250,11927812,11746500
202001,102191,778187,12611250,0.4,12472500,11479688,11678250
202001,102191,102913,13593750,0.58,13593750,10996875,11516250
202001,102191,923179,13871250,0.58,13856250,10931250,11516250
202001,102191,356929,12273750,0.58,12273750,11326875,11516250
202001,102191,488617,12330000,0.44,12135000,11493750,11622000
202001,102191,579869,12423750,0.46,12277500,11441250,11608500
202001,102191,869299,13188750,0.57,13140000,11159062,11555250
202001,102191,702469,11302500,0.36,11302500,11788125,11691000
202001,102191,877367,12506250,0.46,12442500,11400000,11608500
202001,102191,737281,11895000,0.46,11820000,11555625,11608500
202001,102191,659473,10867500,0.39,10608750,12084375,11789250
202001,102191,370399,14058750,0.62,14058750,10749375,11411250
202001,102191,561529,11973750,0.39,11973750,11743125,11789250
202001,102191,813199,12727500,0.42,12566250,11480625,11697750
202001,102191,128969,11808750,0.47,11808750,11545312,11598000
202001,102191,242377,12112500,0.3,11703750,10954688,11104500
202001,102191,906823,12131250,0.37,12123750,11652188,11746500
202001,102191,461603,11370000,0.35,11370000,11739375,11665500
202001,102191,590963,12847500,0.54,12701250,11313750,11591250
202001,102191,366217,12303750,0.42,12303750,11546250,11697750
202001,102191,780631,11561250,0.31,11561250,11159062,11239500
202001,102191,902179,11295000,0.31,11208750,11247188,11239500
202001,102191,651029,11951250,0.48,11895000,11586562,11648250
202001,102191,511691,13076250,0.45,13076250,11161875,11544750
202001,102191,259387,11261250,0.47,11175000,11703750,11598000
202001,102191,221071,12686250,0.37,12626250,11526562,11746500
202001,102191,538301,13357500,0.6,13301250,10969688,11436000
202001,102191,706913,12476250,0.41,12337500,11519062,11682750
202001,102191,212999,12798750,0.52,12798750,11232188,11545500
202001,102191,647321,10875000,0.49,10732500,11751562,11547750
202001,102191,167623,11677500,0.37,11625000,11776875,11746500
202001,102191,222163,13170000,0.56,13166250,11228438,11616000
202001,102191,920687,12768750,0.61,12768750,11080312,11418000
202001,102191,167213,12735000,0.37,12581250,11537812,11746500
202001,102191,325673,12165000,0.38,12135000,11661562,11756250
202001,102191,132233,13001250,0.34,12952500,11182500,11536500
202001,102191,284227,11928750,0.38,11853750,11731875,11756250
202001,102191,876181,9712500,0.39,9712500,12308438,11789250
202001,102191,978233,12078750,0.38,11902500,11719688,11756250
202001,102191,355457,12517500,0.35,12517500,11452500,11665500
202001,102191,641513,12427500,0.39,12221250,11681250,11789250
202001,102191,737969,13207500,0.58,12986250,11148750,11516250
202001,102191,838139,11013750,0.36,10968750,11871562,11691000
202001,102191,544759,12513750,0.46,12513750,11382188,11608500
202001,102191,617791,12063750,0.55,12063750,11535938,11641500
202001,102191,577169,12941250,0.37,12720000,11503125,11746500
202001,102191,414241,11977500,0.61,11767500,11330625,11418000
202001,102191,415823,11670000,0.39,11670000,11819062,11789250
202001,102191,992917,11831250,0.48,11831250,11602500,11648250
202001,102191,433861,11610000,0.39,11242500,11925938,11789250
202001,102191,730421,12120000,0.44,12120000,11497500,11622000
202001,102191,586237,12491250,0.56,12491250,11397188,11616000
202001,102191,123701,12528750,0.63,12528750,11054062,11349000
202001,102191,221077,11910000,0.56,11910000,11542500,11616000
202001,102191,476167,10991250,0.6,10818750,11590312,11436000
202001,102191,794569,11291250,0.38,11081250,11925000,11756250
202001,102191,380909,12007500,0.48,12007500,11558438,11648250
202001,102191,631039,11426250,0.56,11362500,11679375,11616000
202001,102191,862541,12397500,0.47,12270000,11430000,11598000
202001,102191,260551,12573750,0.46,12502500,11385000,11608500
202001,102191,219983,11100000,0.35,10987500,11835000,11665500
202001,102191,217121,13001250,0.37,13001250,11432812,11746500
202001,102191,976957,11546250,0.38,11478750,11825625,11756250
202001,102191,432559,11407500,0.61,11407500,11420625,11418000
202001,102191,628861,11898750,0.54,11692500,11565938,11591250
202001,102191,944297,13005000,0.35,12825000,11375625,11665500
202001,102191,236627,1.20E+07,0.53,11928750,11461875,11555250
202001,102191,546613,12780000,0.43,12780000,11332500,11622000
202001,102191,493123,12183750,0.5,11906250,11387812,11491500
202001,102191,618841,12146250,0.42,12146250,11585625,11697750
202001,102191,289031,11790000,0.58,11730000,11462812,11516250
202001,102191,627091,12116250,0.43,12116250,11498438,11622000
202001,102191,990719,12142500,0.43,12090000,11505000,11622000
202001,102191,461921,11321250,0.61,11088750,11500312,11418000
202001,102191,216803,12573750,0.61,12465000,11156250,11418000
202001,102191,615101,12015000,0.54,11943750,11503125,11591250
202001,102191,482117,13507500,0.34,13263750,11104688,11536500
202001,102191,358243,10781250,0.37,10710000,12005625,11746500
202001,102191,981983,11902500,0.38,11816250,11741250,11756250
202001,102191,712883,11313750,0.64,11313750,11216250,11235750
202001,102191,213173,12191250,0.56,11970000,11527500,11616000
202001,102191,400249,11302500,0.38,11010000,11942812,11756250
202001,102191,953501,11988750,0.39,11988750,11739375,11789250
202001,102191,624203,12682500,0.39,12611250,11583750,11789250
202001,102191,656273,12596250,0.39,12596250,11587500,11789250
201912,102191,904147,17351250,0.37,17332500,15142500,15580500
201912,102191,976091,16185000,0.46,16113750,15339375,15494250
201912,102191,910661,15757500,0.43,15532500,15579375,15570000
201912,102191,242197,15686250,0.41,15281250,15600938,15537000
201912,102191,847519,15472500,0.3,15472500,15140625,15207000
201912,102191,226099,16260000,0.42,16256250,15390000,15563250
201912,102191,699493,15603750,0.41,15498750,15546562,15537000
201912,102191,275339,15086250,0.35,15086250,15644062,15532500
201912,102191,751423,16788750,0.39,16762500,15326250,15613500
201912,102191,844523,17201250,0.43,17148750,15175312,15570000
201912,102191,577531,15888750,0.49,15888750,14880938,15082500
201912,102191,955139,15975000,0.34,15802500,15315000,15412500
201912,102191,929311,16331250,0.35,16331250,15332812,15532500
201912,102191,923441,15731250,0.38,15731250,15640312,15658500
201912,102191,372847,16533750,0.45,16515000,15250312,15503250
201912,102191,778187,16271250,0.46,16271250,15300000,15494250
201912,102191,102913,16327500,0.35,16327500,15333750,15532500
201912,102191,923179,15236250,0.45,15120000,15599062,15503250
201912,102191,356929,17452500,0.45,17445000,15017812,15503250
201912,102191,488617,15907500,0.44,15851250,15429375,15513750
201912,102191,579869,16166250,0.31,16031250,15069375,15261750
201912,102191,869299,15161250,0.56,15131250,14335312,14494500
201912,102191,702469,16931250,0.51,16920000,14484375,14971500
201912,102191,877367,15243750,0.46,15232500,15559688,15494250
201912,102191,737281,17523750,0.44,17497500,15017812,15513750
201912,102191,659473,14947500,0.46,14947500,15630938,15494250
201912,102191,370399,16668750,0.39,16668750,15349688,15613500
201912,102191,561529,15330000,0.41,15232500,15613125,15537000
201912,102191,813199,16848750,0.36,16661250,15166875,15465750
201912,102191,128969,15705000,0.38,15705000,15646875,15658500
201912,102191,242377,15487500,0.45,15487500,15507188,15503250
201912,102191,906823,16413750,0.38,16320000,15493125,15658500
201912,102191,461603,15168750,0.4,15168750,15717188,15607500
201912,102191,590963,15851250,0.36,15851250,15369375,15465750
201912,102191,366217,14126250,0.45,14103750,15853125,15503250
201912,102191,780631,16158750,0.4,16158750,15469688,15607500
201912,102191,902179,17178750,0.31,17178750,14782500,15261750
201912,102191,651029,15018750,0.4,15011250,15756562,15607500
201912,102191,511691,16173750,0.4,16008750,15507188,15607500
201912,102191,259387,14741250,0.45,14718750,15699375,15503250
201912,102191,221071,15011250,0.42,15011250,15701250,15563250
201912,102191,538301,14512500,0.36,14280000,15762188,15465750
201912,102191,706913,15048750,0.39,15022500,15761250,15613500
201912,102191,212999,15307500,0.42,15307500,15627188,15563250
201912,102191,647321,15817500,0.46,15817500,15413438,15494250
