mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	593297	4875000	0.6	4788750	3672188	3895500	
202003	102191	841741	4308750	0.48	4308750	3940312	4014000	
202003	102191	791851	4091250	0.62	4083750	3808125	3863250	
202003	102191	109841	4597500	0.47	4597500	3868125	4014000	
202003	102191	388237	3768750	0.57	3656250	3990938	3924000	
202003	102191	858103	4751250	0.47	4725000	3836250	4014000	
202003	102191	389761	4560000	0.66	4560000	3663750	3843000	
202003	102191	572933	4875000	0.49	4856250	3771562	3988500	
202003	102191	393079	4121250	0.47	4121250	3987188	4014000	
202003	102191	890969	3708750	0.43	3656250	3895312	3847500	
202003	102191	503131	4395000	0.52	4395000	3946875	4036500	
202003	102191	575753	3641250	0.51	3566250	4204688	4077000	
202003	102191	993793	3888750	0.53	3877500	4116562	4068750	
202003	102191	167033	4391250	0.44	4391250	3828750	3941250	
202003	102191	999563	4020000	0.52	3885000	4074375	4036500	
202003	102191	234239	4777500	0.66	4777500	3609375	3843000	
202003	102191	292667	4342500	0.45	4308750	3874688	3961500	
202003	102191	943289	3611250	0.43	3487500	3937500	3847500	
202003	102191	501637	4132500	0.6	4132500	3836250	3895500	
202003	102191	151573	3855000	0.52	3855000	4081875	4036500	
202003	102191	726287	5208750	0.74	5208750	3134062	3549000	
202003	102191	550309	4027500	0.49	3697500	4061250	3988500	
202003	102191	169177	4413750	0.47	4402500	3916875	4014000	
202003	102191	851413	3266250	0.53	3202500	4285312	4068750	
202003	102191	449287	3633750	0.51	3551250	4208438	4077000	
202003	102191	409891	4518750	0.63	4477500	3709688	3863250	
202003	102191	771427	5486250	0.65	5463750	3441562	3846000	
202003	102191	566011	4181250	0.58	4181250	3869062	3931500	
202003	102191	733879	4571250	0.53	4537500	3951562	4068750	
202003	102191	742151	5066250	0.68	5066250	3331875	3678750	
202003	102191	410833	4372500	0.45	4320000	3871875	3961500	
202003	102191	235177	3948750	0.51	3948750	4109062	4077000	
202003	102191	141311	3465000	0.63	3401250	3978750	3863250	
202003	102191	276467	4226250	0.75	4185000	3258750	3444000	
202003	102191	230807	4545000	0.5	4473750	3905625	4019250	
202003	102191	525727	3495000	0.66	3446250	3942188	3843000	
202003	102191	705409	3356250	0.6	3356250	4030312	3895500	
202003	102191	259277	4687500	0.43	4687500	3637500	3847500	
202003	102191	230369	4241250	0.52	4241250	3985312	4036500	
202003	102191	296251	4230000	0.44	4001250	3926250	3941250	
202003	102191	116099	5666250	0.64	5643750	3423750	3867750	
202003	102191	428227	3468750	0.47	3345000	4181250	4014000	
202003	102191	586567	3963750	0.44	3918750	3946875	3941250	
202003	102191	157327	4556250	0.55	4556250	3860625	3999750	
202003	102191	556181	3502500	0.7	3300000	3651562	3581250	
202003	102191	462899	4383750	0.52	4323750	3964688	4036500	
202003	102191	862633	4368750	0.65	4368750	3715312	3846000	
202003	102191	376837	4740000	0.52	4597500	3896250	4036500	
202003	102191	624479	3656250	0.42	3468750	3881250	3798750	
202003	102191	618997	4515000	0.44	4380000	3831562	3941250	
202003	102191	501623	4166250	0.51	4140000	4061250	4077000	
