"Feature";"Gain";"Cover";"Frequency"
"m_egreso_principal";0,0670005325634991;0,00256207832098444;0,000893615774515836
"mcaja_ahorro";0,0441706255950717;0,00625993964098152;0,00235855966716475
"m_egresos";0,0406969669018845;0,00401297136159215;0,00110603263894993
"m_egreso_principal__min_3";0,03412991516886;0,00127118264002673;0,000754446104714189
"fl_fidelizacion_media__tend_12";0,0264013176061531;0,000869270333973176;0,000607951715449298
"m_egresos__min_3";0,0225700676027928;0,00260214078380378;0,000769095543640679
"mcuentas_saldo";0,0158494261414857;0,00528299811398631;0,0023512349477015
"mv_status05__tend_6";0,0143275059116084;0,000327964887868989;0,000212416864434092
"mv_Finiciomora__tend_3";0,0119484779359368;0,0027436784344562;0,00057865283759632
"m_egreso_principal__min_6";0,0112253261337761;0,000745043226674302;0,000703173068471478
"mv_Finiciomora";0,0106716565054587;0,00268690020160372;0,000966862969148282
"cproductos__tend_3";0,010509930594454;0,00470408171918427;0,00125252702821482
"ctrx_quarter";0,0104511207561095;0,00366485660166931;0,00160411356245056
"fl_fidelizacion_media_lag1";0,009774546658297;7,35346292104265e-07;1,46494389264891e-05
"mcaja_ahorro__min_3";0,00949339064940598;0,00333835352550918;0,00145761917318567
"mv_Finiciomora_delta1";0,00867812258013635;0,000775310770901098;0,000300313497993027
"pc_egreso_principal";0,00859504880826987;0,0017654688067791;0,00169933491547274
"mcuenta_corriente_delta1";0,00849914456457147;0,00103600430369948;0,00224136415575283
"cliente_antiguedad_delta1";0,00743419049815998;0,00237303539611643;0,000710497787934722
"mdescubierto_preacordado__tend_12";0,00672324680778263;0,000327402399719748;0,000402859570478451
"mdescubierto_preacordado";0,00663473336803055;0,000717579242318364;0,000314962936919516
"m_egresos__min_6";0,00646046404730965;0,00120504156034045;0,000593302276522809
"m_adeuda";0,00597507758189393;0,00568772222293315;0,00222671471682635
"ctarjeta_visa_transacciones";0,00587163556665047;0,00397134463807096;0,00119392927250886
"pc_egreso_principal__min_6";0,00545477092378421;0,000492532316534758;0,00124520230875157
"ctarjeta_visa";0,00540731129596149;9,10843183454948e-05;7,32471946324456e-05
"cproductos__tend_6";0,00498631773270465;0,00794932917790156;0,00196302481614954
"Visa_Finiciomora";0,004690289442866;0,00230651003457522;0,00091558993290557
"cpayroll_trx";0,00438054405248178;0,00549335931027121;0,000908265213442325
"mcuenta_corriente__tend_3";0,00410273904563069;0,00189737679181233;0,00251970349535613
"mv_status04__tend_12";0,00406316526322401;3,7335396233957e-05;0,000197767425507603
"mtarjeta_visa_consumo";0,00401685969952307;0,00250839666782376;0,00082036857988339
