mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202003	102191	904147	4841250	0.13	4631250	3611250	3815250	
202003	102191	976091	5006250	0.2	5006250	3976875	4182750	
202003	102191	910661	3352500	0.24	3258750	4304062	4095000	
202003	102191	242197	3585000	0.32	3570000	3745312	3710250	
202003	102191	847519	4496250	0.21	4406250	3893438	3996000	
202003	102191	226099	4736250	0.18	4657500	4040625	4164000	
202003	102191	699493	2906250	0.38	2685000	3765000	3549000	
202003	102191	275339	4290000	0.19	4290000	4153125	4180500	
202003	102191	751423	3885000	0.17	3712500	4253438	4145250	
202003	102191	844523	5343750	0.25	4987500	3756562	4002750	
202003	102191	577531	4950000	0.26	4920000	3705938	3948750	
202003	102191	955139	4950000	0.19	4946250	3989062	4180500	
202003	102191	929311	5096250	0.27	5025000	3576562	3866250	
202003	102191	923441	4402500	0.25	4218750	3948750	4002750	
202003	102191	372847	3528750	0.14	3517500	4028438	3926250	
202003	102191	778187	4845000	0.18	4582500	4059375	4164000	
202003	102191	102913	4593750	0.16	4552500	3987188	4100250	
202003	102191	923179	4608750	0.29	4608750	3660000	3849750	
202003	102191	356929	4256250	0.3	4162500	3585938	3701250	
202003	102191	488617	4091250	0.17	4091250	4158750	4145250	
202003	102191	579869	2812500	0.31	2550000	4014375	3721500	
202003	102191	869299	3723750	0.24	3348750	4281562	4095000	
202003	102191	702469	4121250	0.18	4121250	4174688	4164000	
202003	102191	877367	4811250	0.18	4638750	4045312	4164000	
202003	102191	737281	4278750	0.21	4128750	3962812	3996000	
202003	102191	659473	4042500	0.32	3600000	3737812	3710250	
202003	102191	370399	3630000	0.38	3611250	3533438	3549000	
202003	102191	561529	4665000	0.17	4665000	4015312	4145250	
202003	102191	813199	4106250	0.14	3922500	3927188	3926250	
202003	102191	128969	5250000	0.25	5073750	3735000	4002750	
202003	102191	242377	4897500	0.19	4886250	4004062	4180500	
202003	102191	906823	4031250	0.23	3881250	4037812	4006500	
202003	102191	461603	4402500	0.41	3821250	3396562	3481500	
202003	102191	590963	5497500	0.2	5497500	3854062	4182750	
202003	102191	366217	3510000	0.23	3048750	4245938	4006500	
202003	102191	780631	3112500	0.36	2287500	3954375	3621000	
202003	102191	902179	5471250	0.17	5400000	3831562	4145250	
202003	102191	651029	4346250	0.18	4237500	4145625	4164000	
202003	102191	511691	4106250	0.2	3975000	4234688	4182750	
202003	102191	259387	5073750	0.16	5073750	3856875	4100250	
202003	102191	221071	3982500	0.25	3888750	4031250	4002750	
202003	102191	538301	4931250	0.18	4931250	3972188	4164000	
202003	102191	706913	4612500	0.3	4515000	3497812	3701250	
202003	102191	212999	5103750	0.23	5043750	3747188	4006500	
202003	102191	647321	3352500	0.19	3352500	4387500	4180500	
202003	102191	167623	4713750	0.19	4320000	4145625	4180500	
202003	102191	222163	4721250	0.16	4338750	4040625	4100250	
202003	102191	920687	4387500	0.29	4162500	3771562	3849750	
202003	102191	167213	4680000	0.18	4665000	4038750	4164000	
202003	102191	325673	3420000	0.19	3360000	4385625	4180500	
202003	102191	132233	4207500	0.26	4166250	3894375	3948750	
202003	102191	284227	3442500	0.29	3375000	3968438	3849750	
202003	102191	876181	3285000	0.14	3075000	4139062	3926250	
202003	102191	978233	4582500	0.14	4492500	3784688	3926250	
202003	102191	355457	5238750	0.19	5160000	3935625	4180500	
202003	102191	641513	4631250	0.26	4106250	3909375	3948750	
202003	102191	737969	5298750	0.19	5197500	3926250	4180500	
202003	102191	838139	4293750	0.25	4203750	3952500	4002750	
202003	102191	544759	4095000	0.35	3907500	3570938	3638250	
202003	102191	617791	4818750	0.24	4743750	3932812	4095000	
202003	102191	577169	4316250	0.31	3577500	3757500	3721500	
202003	102191	414241	5752500	0.26	5681250	3515625	3948750	
202003	102191	415823	3607500	0.17	3453750	4318125	4145250	
202003	102191	992917	4713750	0.15	4616250	3785625	3951750	
202003	102191	433861	4811250	0.19	4811250	4022812	4180500	
202003	102191	730421	4350000	0.24	4335000	4035000	4095000	
202003	102191	586237	4271250	0.2	4106250	4201875	4182750	
202003	102191	123701	4050000	0.2	4050000	4215938	4182750	
202003	102191	221077	4395000	0.25	4155000	3964688	4002750	
202003	102191	476167	4788750	0.15	4593750	3791250	3951750	
202003	102191	794569	3832500	0.27	3832500	3874688	3866250	
202003	102191	380909	4631250	0.18	4608750	4052812	4164000	
202003	102191	631039	4800000	0.28	4800000	3607500	3846000	
202003	102191	862541	4128750	0.3	3626250	3720000	3701250	
202003	102191	260551	5017500	0.19	4878750	4005938	4180500	
202003	102191	219983	3727500	0.19	3727500	4293750	4180500	
202003	102191	217121	4837500	0.23	4740000	3823125	4006500	
202003	102191	976957	4473750	0.33	4095000	3567188	3672750	
202003	102191	432559	4136250	0.28	3513750	3929062	3846000	
202003	102191	628861	4436250	0.25	4170000	3960938	4002750	
202003	102191	944297	5268750	0.24	5268750	3801562	4095000	
202003	102191	236627	3375000	0.39	3273750	3611250	3543750	
202003	102191	546613	4282500	0.32	4188750	3590625	3710250	
202003	102191	493123	3806250	0.25	3671250	4085625	4002750	
202003	102191	618841	3862500	0.18	3592500	4306875	4164000	
202003	102191	289031	3401250	0.34	3258750	3757500	3657750	
202003	102191	627091	5418750	0.19	5321250	3895312	4180500	
202003	102191	990719	3862500	0.18	3735000	4271250	4164000	
202003	102191	461921	4417500	0.26	4076250	3916875	3948750	
202003	102191	216803	5235000	0.2	5220000	3923438	4182750	
202003	102191	615101	5358750	0.24	5302500	3793125	4095000	
202003	102191	482117	3622500	0.16	3390000	4277812	4100250	
202003	102191	358243	4327500	0.19	4230000	4168125	4180500	
202003	102191	981983	4260000	0.34	3933750	3588750	3657750	
202003	102191	712883	5651250	0.17	5340000	3846562	4145250	
202003	102191	213173	4166250	0.43	2797500	3528750	3382500	
202003	102191	400249	3577500	0.43	2962500	3487500	3382500	
202003	102191	953501	5148750	0.37	5070000	3159375	3541500	
202003	102191	624203	3986250	0.23	3881250	4037812	4006500	
